annotation_status,backend,bytes_shipped_p50,cardinality_candidates_p50,cardinality_predicate_matches_p50,cardinality_reached_p50,cardinality_seeds_p50,dataset,hit_at_1,hit_at_5,hops,is_default,k,latency_p50_ms,latency_p95_ms,latency_p99_ms,mrr,plan_id,predicate_placement,query_hop_limit,query_id,recall_at_20,repetitions,round_trips_p50,serialization_fraction_p50,shape,stage_ann_ms_p50,stage_filter_ms_p50,stage_merge_ms_p50,stage_traverse_ms_p50,template,valid_for_system_latency_claims
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,,openevolve,1.0,1.0,3,False,5,0.528316,0.5415721,0.54275042,1.0,traverse_first-79ee91cd021b,post,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.011,0.054,0.44231600000000004,0.017,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,1,False,10,0.455125,0.4703782,0.47173404,1.0,traverse_first-7e45a5be9de9,post,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.002,0.026,0.41944499999999996,0.014,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,0.0,0.0,5,False,1,0.529267,0.5456578000000001,0.54711476,0.0,traverse_first-83bddfb7afc0,post,2,oe-000,0.0,3,0.0,0.0,traverse_first,0.011,0.083,0.41726700000000005,0.021,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,,openevolve,1.0,1.0,3,False,10,0.51196,0.8445883,0.87415526,1.0,traverse_first-85c5a61d5cac,during,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.013,0.059,0.43095999999999995,0.02,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,5.0,31.0,,,openevolve,0.0,1.0,5,False,5,0.573634,1.315504,1.381448,0.5,traverse_first-8601c73b4d10,during,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.01,0.09,0.451634,0.022,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,,openevolve,1.0,1.0,3,False,5,0.530294,0.549311,0.5510014,1.0,traverse_first-89a453d84bbf,during,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.012,0.059,0.43729400000000007,0.017,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,1,False,10,0.475601,0.48730009999999996,0.48834002,1.0,traverse_first-8d055dcb7096,during,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.003,0.021,0.436601,0.015,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,,openevolve,1.0,1.0,2,False,31,0.495044,0.4994153,0.49980386,1.0,traverse_first-90c6f45e3991,during,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.006,0.047,0.41504399999999997,0.019,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,2,False,1,0.485347,0.4855027,0.48551654,1.0,traverse_first-92d6d9491887,during,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.006,0.047,0.41434699999999997,0.018,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,1,False,1,0.458054,0.5283791,0.53463022,1.0,traverse_first-a6e5d14e469b,post,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.002,0.026,0.41405400000000003,0.013,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,,openevolve,1.0,1.0,2,False,5,0.52167,0.6118698,0.61988756,1.0,traverse_first-b279d6126ea0,post,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.006,0.046,0.44866999999999996,0.017,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,,openevolve,1.0,1.0,3,False,31,0.49605,0.5255844,0.5282096799999999,1.0,traverse_first-b8c2c2ac41e4,post,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.012,0.054,0.413691,0.018,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,,openevolve,1.0,1.0,2,False,5,0.498005,0.5056847,0.50636734,1.0,traverse_first-cccdd3ed958f,during,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.007,0.041,0.43253800000000003,0.015,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,5.0,31.0,,,openevolve,0.0,1.0,5,False,31,0.559709,0.5755679,0.57697758,0.5,traverse_first-d56cf7e61a35,during,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.014,0.091,0.435709,0.02,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,5.0,31.0,,,openevolve,0.0,1.0,5,False,10,0.561274,0.5690527,0.56974414,0.5,traverse_first-df19a1a33fe5,during,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.014,0.089,0.42827400000000004,0.022,ancestor_reuse,True
